branch,date,supplier,lunar,barcode,quantity,price
1,06/05/2022,145156,250,5052149488503,1,£25.00
1,07/05/2022,133312,250,5052149465191,-1,-£44.99
1,07/05/2022,133702,250,5052149545145,1,£44.99
1,07/05/2022,142325,250,5052149547958,1,£32.99
1,07/05/2022,153806,250,5052149536709,1,£34.99
2,07/05/2022,125345,250,5052149545138,1,£44.99
2,07/05/2022,140936,250,5052149511270,1,£44.99
2,07/05/2022,143940,250,5052149511652,1,£20.00
2,06/05/2022,111206,250,5052149511263,1,£39.99
2,06/05/2022,142529,250,5052149491633,1,£25.00
2,06/05/2022,145440,250,5052149547965,1,£46.99
2,06/05/2022,164115,250,5052149545978,1,£44.99
2,05/05/2022,103250,250,5052149546036,1,£47.99
2,05/05/2022,103250,250,5052149545015,1,£39.99
2,05/05/2022,164017,250,5052149545336,1,£44.99
2,04/05/2022,95301,250,5052149491626,1,£25.00
2,04/05/2022,130153,250,5052149545695,1,£44.99
2,04/05/2022,133837,250,5052149376046,1,£29.99
2,04/05/2022,164410,250,5052149511270,1,£39.99
2,03/05/2022,122348,250,5052149545688,1,£44.99
2,02/05/2022,134703,250,5052149425959,1,£29.99
2,02/05/2022,160440,250,5052149448118,1,£15.00
2,30/04/2022,130356,250,5052149548610,1,£27.99
2,29/04/2022,122524,250,5052149548207,1,£44.99
2,29/04/2022,130640,250,5052149368508,1,£29.99
2,29/04/2022,155202,250,5052149376053,-1,-£29.99
2,29/04/2022,160305,250,5052149488510,1,£25.00
2,28/04/2022,115411,250,5052149420831,1,£25.00
2,28/04/2022,131109,250,5052149417565,1,£44.99
2,28/04/2022,144819,250,5052149546227,1,£47.99
2,28/04/2022,160134,250,5052149511430,-1,-£44.99
2,27/04/2022,132518,250,5052149547972,1,£46.99
2,25/04/2022,155517,250,5052149491589,1,£25.00
2,25/04/2022,155517,250,5052149544902,1,£39.99
2,25/04/2022,155517,250,5052149376053,1,£29.99
2,23/04/2022,160342,250,5052149511430,1,£44.99
2,21/04/2022,110031,250,5052149484666,1,£29.99
2,21/04/2022,152522,250,5052149464774,1,£34.99
2,20/04/2022,110328,250,5052149498151,-1,-£25.00
2,20/04/2022,163055,250,5052149545671,-1,-£44.99
2,20/04/2022,163055,250,5052149465139,-1,-£44.99
2,19/04/2022,110729,250,5052149545671,1,£44.99
2,19/04/2022,110729,250,5052149465139,1,£44.99
2,19/04/2022,130754,250,5052149511300,1,£44.99
2,16/04/2022,115354,250,5052149452122,1,£15.00
2,16/04/2022,121502,250,5052149548603,1,£32.99
2,16/04/2022,124529,250,5052149547958,1,£46.99
2,16/04/2022,130636,250,5052149547941,1,£46.99
2,16/04/2022,130636,250,5052149489395,1,£25.00
2,16/04/2022,160729,250,5052149511423,1,£44.99
2,15/04/2022,151745,250,5052149498175,1,£25.00
2,14/04/2022,94858,250,5052149447869,1,£15.00
2,14/04/2022,121532,250,5052149447869,-1,-£15.00
2,14/04/2022,121532,250,5052149444011,1,£10.00
2,14/04/2022,121532,250,5052149443823,1,£10.00
2,14/04/2022,164450,250,5052149386212,1,£34.99
2,13/04/2022,113438,250,5052149544919,1,£39.99
2,13/04/2022,123135,250,5052149463333,1,£32.99
2,13/04/2022,143720,250,5052149498151,1,£25.00
2,13/04/2022,164504,250,5052149488824,1,£25.00
2,12/04/2022,95230,250,5052149489333,1,£25.00
2,12/04/2022,95230,250,5052149503350,1,£25.00
2,12/04/2022,134945,250,5052149368485,1,£29.99
2,08/04/2022,112517,250,5052149465092,1,£44.99
2,08/04/2022,120100,250,5052149448477,1,£15.00
2,08/04/2022,131758,250,5052149548122,1,£44.99
2,07/04/2022,115524,250,5052149548627,1,£32.99
2,07/04/2022,120642,250,5052149417657,1,£44.99
2,07/04/2022,122508,250,5052149489418,1,£25.00
2,06/04/2022,141546,250,5052149465085,1,£44.99
2,06/04/2022,155544,250,5052149448484,1,£15.00
2,06/04/2022,170151,250,5052149545398,1,£44.99
2,04/04/2022,114531,250,5052149489159,1,£25.00
2,04/04/2022,154224,250,5052149545688,1,£44.99
2,02/04/2022,145049,250,4059954021575,-1,-£57.00
2,01/04/2022,130551,250,5052149465146,1,£39.99
2,31/03/2022,101907,250,5052149489593,1,£25.00
2,29/03/2022,125905,250,5052149489425,1,£25.00
2,29/03/2022,124636,250,5052149428684,1,£24.99
2,28/03/2022,102209,250,5052149548696,1,£27.99
2,28/03/2022,123427,250,5052149417572,1,£44.99
2,28/03/2022,125731,250,5052149425942,1,£29.99
2,28/03/2022,130339,250,5052149548146,1,£44.99
2,28/03/2022,130339,250,5052149548566,1,£32.99
2,28/03/2022,133009,250,4059954021575,1,£57.00
2,28/03/2022,140845,250,5052149483102,1,£16.99
2,26/03/2022,110155,250,5052149503015,1,£25.00
2,26/03/2022,120620,250,5052149547958,1,£46.99
2,26/03/2022,160847,250,5052149465061,1,£44.99
2,26/03/2022,160847,250,5052149545848,1,£44.99
2,23/03/2022,125712,250,5052149511287,1,£44.99
2,23/03/2022,141132,250,5052149489586,1,£25.00
2,22/03/2022,122609,250,5052149449153,1,£15.00
2,22/03/2022,144738,250,5052149548214,1,£44.99
2,22/03/2022,145407,250,5052149492159,1,£25.00
2,21/03/2022,113820,250,5052149503008,1,£25.00
2,18/03/2022,111540,250,5052149448170,1,£15.00
2,18/03/2022,141435,250,5052149465122,1,£44.99
2,18/03/2022,162946,250,5052149491572,1,£25.00
2,17/03/2022,150210,250,5052149503329,1,£25.00
2,16/03/2022,162320,250,5052149497567,1,£25.00
2,12/03/2022,133352,250,5052149548573,1,£32.99
2,12/03/2022,160244,250,5052149493316,1,£23.99
2,08/03/2022,131720,250,5052149545015,1,£39.99
2,05/03/2022,155002,250,5052149503312,1,£25.00
2,03/03/2022,112337,250,5052149433688,1,£16.99
2,02/03/2022,103233,250,5052149498175,1,£29.99
2,02/03/2022,133332,250,5052149537874,1,£19.99
2,28/02/2022,113009,250,5052149489173,1,£34.99
2,23/02/2022,112009,250,5052149493996,1,£24.99
2,23/02/2022,135505,250,5052149488756,1,£29.99
2,19/02/2022,141322,250,5052149493965,1,£19.99
2,19/02/2022,151309,250,5052149489609,1,£27.99
2,19/02/2022,155755,250,5052149503367,1,£24.99
2,19/02/2022,155932,250,5052149489883,1,£23.99
2,19/02/2022,155932,250,5052149489418,1,£27.99
2,19/02/2022,163437,250,5052149488817,1,£34.99
2,18/02/2022,131357,250,5052149488732,1,£23.99
2,15/02/2022,135629,250,5052149483119,1,£16.99
2,15/02/2022,150638,250,5052149502995,1,£27.99
2,14/02/2022,115002,250,5052149498168,1,£23.99
2,14/02/2022,130228,250,5052149493972,1,£19.99
2,14/02/2022,141128,250,5052149498182,1,£23.99
2,14/02/2022,161614,250,5052149185204,1,£7.99
2,12/02/2022,103404,250,5052149448194,1,£12.00
2,12/02/2022,115956,250,5052149484055,1,£27.99
2,11/02/2022,103230,250,5052149484789,1,£15.99
2,11/02/2022,121512,250,5052149498182,1,£23.99
2,10/02/2022,120645,250,5052149489340,1,£34.99
2,10/02/2022,161504,250,5052149545367,1,£44.99
2,07/02/2022,135635,250,5052149448651,1,£15.00
2,04/02/2022,153931,250,5052149493750,1,£24.99
2,02/02/2022,114228,250,5052149488749,1,£29.99
2,01/02/2022,125706,250,5052149420855,1,£29.99
2,31/01/2022,164014,250,5052149493996,1,£24.99
3,31/01/2022,102107,250,5052149489432,1,£29.99
3,02/02/2022,140401,250,5052149498205,1,£29.99
3,02/02/2022,140529,250,5052149498038,1,£29.99
3,03/02/2022,124149,250,5052149484109,1,£34.99
3,03/02/2022,140003,250,5052149478610,1,£20.00
3,07/02/2022,101642,250,5052149368546,1,£24.99
3,07/02/2022,132224,250,5052149491572,1,£34.99
3,09/02/2022,132318,250,5052149465450,1,£18.00
3,11/02/2022,113250,250,5052149484109,1,£39.99
3,11/02/2022,142835,250,5052149493743,1,£27.99
3,14/02/2022,105929,250,5052149545091,1,£39.99
3,14/02/2022,130557,250,5052149497574,1,£39.99
3,14/02/2022,140826,250,5052149536532,1,£39.99
3,15/02/2022,103215,250,5052149545398,1,£44.99
3,15/02/2022,103215,250,5052149545152,1,£44.99
3,15/02/2022,114200,250,5052149493972,1,£24.99
3,15/02/2022,140616,250,5052149488527,1,£44.99
3,16/02/2022,150741,250,5052149484055,1,£34.99
3,17/02/2022,124639,250,5052149504395,1,£13.99
3,18/02/2022,112557,250,5052149485274,1,£20.00
3,18/02/2022,123215,250,5052149491589,1,£34.99
3,18/02/2022,135124,250,5052149498052,1,£29.99
3,18/02/2022,145129,250,5052149494078,1,£24.99
3,19/02/2022,140955,250,5052149290373,1,£22.99
3,19/02/2022,155743,250,5052149448309,1,£21.99
3,21/02/2022,112825,250,5052149498137,1,£24.99
3,22/02/2022,121209,250,5052149536839,1,£32.99
3,25/02/2022,112001,250,5052149447524,1,£22.99
3,25/02/2022,133202,250,5052149484772,1,£19.99
3,26/02/2022,122433,250,5052149511317,1,£44.99
3,28/02/2022,125222,250,5052149545077,1,£39.99
3,28/02/2022,125725,250,5052149465078,1,£39.99
3,01/03/2022,142956,250,5052149493699,1,£24.99
3,02/03/2022,161940,250,5052149447463,1,£24.99
3,03/03/2022,100503,250,5052149420824,1,£29.99
3,03/03/2022,152853,250,5052149545749,1,£44.99
3,04/03/2022,100956,250,5052149491633,1,£34.99
3,04/03/2022,154742,250,5052149491633,1,£25.00
3,05/03/2022,120740,250,5052149545886,1,£44.99
3,05/03/2022,122011,250,5052149510624,1,£20.00
3,05/03/2022,134628,250,5052149448545,1,£19.99
3,05/03/2022,154214,250,5052149448354,1,£19.99
3,07/03/2022,111042,250,5052149537010,1,£34.99
3,08/03/2022,114804,250,5052149484055,1,£25.00
3,09/03/2022,122453,250,5052149545985,1,£44.99
3,09/03/2022,150120,250,5052149447517,1,£22.99
3,09/03/2022,151232,250,5052149545732,1,£44.99
3,10/03/2022,105124,250,5052149488534,1,£25.00
3,10/03/2022,110308,250,5052149417633,1,£44.99
3,11/03/2022,110924,250,5052149545114,1,£39.99
3,11/03/2022,123708,250,5052149417565,1,£44.99
3,11/03/2022,130118,250,5052149488497,1,£25.00
3,11/03/2022,132339,250,5052149497574,1,£25.00
3,11/03/2022,141100,250,5052149545732,-1,-£44.99
3,11/03/2022,141100,250,5052149417572,1,£44.99
3,12/03/2022,103109,250,5052149493965,1,£25.00
3,12/03/2022,112139,250,5052149452146,1,£15.00
3,18/03/2022,173807,250,5052149484611,1,£18.00
3,18/03/2022,123807,250,5052149417596,1,£44.99
3,18/03/2022,132929,250,5052149417572,-1,-£44.99
3,18/03/2022,140040,250,5052149378422,1,£32.99
3,19/03/2022,114152,250,5052149484765,-1,-£19.99
3,19/03/2022,124631,250,5052149511454,1,£20.00
3,19/03/2022,125333,250,5052149484581,1,£20.00
3,19/03/2022,125333,250,5052149510624,1,£20.00
3,19/03/2022,125618,250,5052149510617,1,£20.00
3,19/03/2022,130847,250,5052149545244,1,£44.99
3,19/03/2022,130847,250,5052149391018,1,£29.99
3,21/03/2022,94542,250,5052149510617,-1,-£20.00
3,22/03/2022,102818,250,5052149484604,1,£20.00
3,22/03/2022,130526,250,5052149450876,1,£29.99
3,22/03/2022,154247,250,5052149465085,1,£44.99
3,23/03/2022,121131,250,5052149547958,1,£41.99
3,23/03/2022,142527,250,5052149484598,1,£20.00
3,23/03/2022,142839,250,5052149548559,1,£27.99
3,23/03/2022,150242,250,5052149545992,1,£39.99
3,24/03/2022,105913,250,5052149417589,1,£39.99
3,24/03/2022,125833,250,5052149545961,1,£44.99
3,24/03/2022,135448,250,5052149545985,1,£44.99
3,24/03/2022,135448,250,5052149545145,1,£39.99
3,25/03/2022,111126,250,5052149498120,1,£25.00
3,25/03/2022,125636,250,5052149454829,1,£32.99
3,26/03/2022,104555,250,5052149546043,1,£47.99
3,26/03/2022,123057,250,5052149450944,1,£32.99
3,26/03/2022,134003,250,5052149544902,1,£34.99
3,28/03/2022,133426,250,5052149545312,1,£44.99
3,28/03/2022,133426,250,5052149545978,1,£44.99
3,28/03/2022,145527,250,5052149511294,1,£44.99
3,28/03/2022,153359,250,5052149548146,1,£44.99
3,29/03/2022,105022,250,5052149545114,1,£44.99
3,29/03/2022,121242,250,5052149450920,1,£32.99
3,29/03/2022,142311,250,5052149545688,1,£44.99
3,29/03/2022,153529,250,5052149548603,1,£32.99
3,30/03/2022,115046,250,5052149465085,1,£44.99
3,30/03/2022,131043,250,5052149545756,1,£44.99
3,31/03/2022,134015,250,5052149545954,1,£44.99
3,31/03/2022,145124,250,5052149511300,1,£44.99
3,31/03/2022,151703,250,5052149417589,1,£39.99
3,31/03/2022,152447,250,5052149511294,1,£44.99
3,01/04/2022,100326,250,5052149378118,1,£32.99
3,01/04/2022,140340,250,5052149455918,1,£32.99
3,02/04/2022,114508,250,5052149391032,1,£29.99
3,02/04/2022,120129,250,5052149545138,1,£44.99
3,02/04/2022,151636,250,5052149545978,1,£44.99
3,04/04/2022,114618,250,5052149451057,1,£32.99
3,04/04/2022,125612,250,5052149511270,1,£44.99
3,04/04/2022,134629,250,5052149545039,1,£39.99
3,05/04/2022,121439,250,5052149545022,1,£39.99
3,05/04/2022,123527,250,5052149548184,1,£44.99
3,06/04/2022,113330,250,5052149417572,1,£44.99
3,06/04/2022,113330,250,5052149545138,1,£44.99
3,07/04/2022,113631,250,5052149454041,1,£24.99
3,07/04/2022,161528,250,5052149450937,1,£32.99
3,08/04/2022,135545,250,5052149391049,1,£29.99
3,08/04/2022,153100,250,5052149463944,1,£34.99
3,09/04/2022,123941,250,5052149527028,1,£34.99
3,09/04/2022,142936,250,5052149377135,1,£32.99
3,11/04/2022,95047,250,5052149511393,1,£35.99
3,12/04/2022,94658,250,5052149545671,1,£44.99
3,13/04/2022,103729,250,5052149504449,1,£13.99
3,13/04/2022,104410,250,5052149413871,1,£24.99
3,14/04/2022,115705,250,5052149378415,1,£32.99
3,15/04/2022,110942,250,5052149451057,1,£32.99
3,15/04/2022,114428,250,5052149451057,-1,-£32.99
3,15/04/2022,114428,250,5052149378415,1,£32.99
3,15/04/2022,114623,250,5052149484079,1,£25.00
3,16/04/2022,112506,250,5052149545848,1,£44.99
3,16/04/2022,114958,250,5052149546043,1,£47.99
3,16/04/2022,115307,250,5052149417626,1,£44.99
3,16/04/2022,120913,250,5052149545145,1,£44.99
3,18/04/2022,102028,250,5052149548665,1,£32.99
3,19/04/2022,144146,250,5052149545688,1,£44.99
3,20/04/2022,123316,250,5052149454065,1,£29.99
3,20/04/2022,131446,250,5052149536969,1,£37.99
3,21/04/2022,112003,250,5052149465276,1,£44.99
3,21/04/2022,112003,250,5052149417657,1,£44.99
3,21/04/2022,113214,250,5052149545367,1,£44.99
3,21/04/2022,154257,250,5052149545077,1,£44.99
3,22/04/2022,141253,250,5052149553409,1,£32.99
3,22/04/2022,143025,250,5052149511287,1,£44.99
3,22/04/2022,151117,250,5052149553416,1,£32.99
3,22/04/2022,154342,250,5052149548610,1,£32.99
3,23/04/2022,122623,250,5052149545664,1,£44.99
3,23/04/2022,122623,250,5052149511270,1,£44.99
3,23/04/2022,142110,250,5052149545749,1,£44.99
3,25/04/2022,101306,250,5052149465061,1,£44.99
3,25/04/2022,123637,250,5052149545732,1,£44.99
3,25/04/2022,123637,250,5052149417572,1,£44.99
3,25/04/2022,142640,250,5052149417572,1,£44.99
3,26/04/2022,123720,250,5052149451835,1,£32.99
3,26/04/2022,144135,250,5052149545008,1,£39.99
3,26/04/2022,162427,250,5052149417558,1,£44.99
3,27/04/2022,164309,250,5052149388681,1,£29.99
3,28/04/2022,103052,250,5052149378309,1,£32.99
3,28/04/2022,122026,250,5052149451835,-1,-£32.99
3,28/04/2022,123043,250,5052149511287,1,£44.99
3,28/04/2022,131412,250,5052149463562,1,£32.99
3,28/04/2022,151052,250,5052149463319,1,£32.99
3,29/04/2022,100438,250,5052149451408,1,£29.99
3,29/04/2022,100543,250,5052149388681,1,£29.99
3,29/04/2022,122216,250,5052149465092,1,£35.99
3,29/04/2022,123913,250,5052149378125,1,£32.99
3,29/04/2022,133342,250,5052149545862,1,£44.00
3,30/04/2022,105608,250,5052149454058,1,£29.99
3,30/04/2022,110034,250,5052149545756,1,£44.99
3,30/04/2022,113116,250,5052149544872,1,£39.99
3,30/04/2022,114056,250,5052149545763,1,£44.99
3,30/04/2022,114319,250,5052149465085,1,£44.99
3,02/05/2022,104454,250,5052149536792,1,£34.99
3,02/05/2022,120520,250,5052149547958,1,£41.99
3,02/05/2022,130259,250,5052149548696,1,£32.99
3,02/05/2022,155938,250,5052149545268,1,£44.99
3,02/05/2022,164447,250,5052149450890,1,£29.99
3,02/05/2022,164447,250,5052149464675,1,£29.99
3,03/05/2022,114232,250,5052149553331,1,£32.99
3,03/05/2022,120610,250,5052149545862,-1,-£44.00
3,03/05/2022,155055,250,5052149455918,1,£32.99
3,04/05/2022,101451,250,5052149545732,1,£39.99
3,04/05/2022,113624,250,5052149511287,-1,-£44.99
3,04/05/2022,121642,250,5052149465269,1,£44.99
3,04/05/2022,121642,250,5052149465085,1,£44.99
3,04/05/2022,130334,250,5052149450883,1,£32.95
3,04/05/2022,134615,250,5052149511294,1,£44.99
3,04/05/2022,141347,250,5052149511294,1,£44.99
3,04/05/2022,152927,250,5052149450937,-1,-£32.99
3,04/05/2022,154452,250,5052149454065,1,£29.99
