"ItemCode","AlternateItemCode","StyleCode","ProductType","Description","SubDescription","Measure","TillDescription","SuspendDate","DepartmentCode","SectionCode","SubSectionCode","ModelCode","SupplierCode","SupplierReference","LeadTime","DirectDelivery","PrimaryBarcode","VATCode","SellingPrice","RRP","SalesDiscountAllowed","PackSize","PackCostCurrency","LastUnitCost","DefaultSalePrice","CarriageCost","NormalPrice","OriginalSellingPrice","LinkedItemGroup1","LinkedItemGroup2","CatalogStyle","Itemised","CaptureSerialNumber","RollWidth","DoNotAllocate","DateSensitive","DeliveryVanUnits","PurchaserAddressRequired","CommissionCode","CubicCapacity","NumberOfSeats","Commodity","Archive","AttributeGroup 1","AttributeCode 1","RangeCode1","RangeDetail1","RangeCode2","RangeDetail2","RangeCode3","RangeDetail3","Specification 1","Specification 2","Specification 3","Specification 4","Specification 5","Specification 6","Specification 7","Specification 8","Specification 9","Specification 10"
1000830005,"1000830005","100083","UNIT","98972 PILLOWSTEP POPCORN BALLET","Purple/S","QUANTITY","98972 Pillowstep Popcorn Balle Purple/S",,"1","4","141",,"80955","1563559",30,"N","5017414094490",1,14.40,,"Y",1.00,7.5000,7.5000,14.40,0.00,18.00,18.00,,,"N","N","N",,"N","N",1,"N",,"0.00","0.00",,,,,"COLOUR","Purple","SIZE ","S",,,,,,,,,,,,
1000830006,"1000830006","100083","UNIT","98972 PILLOWSTEP POPCORN BALLET","Purple/M","QUANTITY","98972 Pillowstep Popcorn Balle Purple/M",,"1","4","141",,"80955","1563566",30,"N","5017414094513",1,14.40,,"Y",1.00,7.5000,7.5000,14.40,0.00,18.00,18.00,,,"N","N","N",,"N","N",1,"N",,"0.00","0.00",,,,,"COLOUR","Purple","SIZE ","M",,,,,,,,,,,,
1000830007,"1000830007","100083","UNIT","98972 PILLOWSTEP POPCORN BALLET","Purple/L","QUANTITY","98972 Pillowstep Popcorn Balle Purple/L",,"1","4","141",,"80955","1563573",30,"N","5017414094520",1,14.40,,"Y",1.00,7.5000,7.5000,14.40,0.00,18.00,18.00,,,"N","N","N",,"N","N",1,"N",,"0.00","0.00",,,,,"COLOUR","Purple","SIZE ","L",,,,,,,,,,,,
1000830008,"1000830008","100083","UNIT","98972 PILLOWSTEP POPCORN BALLET","Purple/XL","QUANTITY","98972 Pillowstep Popcorn Balle Purple/XL",,"1","4","141",,"80955","1563580",30,"N","5017414094537",1,14.40,,"Y",1.00,7.5000,7.5000,14.40,0.00,18.00,18.00,,,"N","N","N",,"N","N",1,"N",,"0.00","0.00",,,,,"COLOUR","Purple","SIZE ","XL",,,,,,,,,,,,
1000830009,"1000830009","100083","UNIT","98972 PILLOWSTEP POPCORN BALLET","Lt Blue/S","QUANTITY","98972 LTBLUE\S",,"1","4","141",,"80955","2058504",30,"N","5017414071316",1,18.00,,"Y",1.00,7.5000,7.5000,18.00,0.00,18.00,0.00,,,"N","N","N",,"N","N",1,"N",,"0.00","0.00",,,,,"COLOUR","Lt Blue","SIZE ","S",,,,,,,,,,,,
1000830010,"1000830010","100083","UNIT","98972 PILLOWSTEP POPCORN BALLET","Beige/M","QUANTITY","98972 BEIGE\M",,"1","4","141",,"80955","1819229",30,"N","5017414113955",1,18.00,,"Y",1.00,7.5000,7.5000,18.00,0.00,18.00,0.00,,,"N","N","N",,"N","N",1,"N",,"0.00","0.00",,,,,"COLOUR","Beige","SIZE ","M",,,,,,,,,,,,
1000830011,"1000830011","100083","UNIT","98972 PILLOWSTEP POPCORN BALLET","Coral/M","QUANTITY","98972 CORAL\M",,"1","4","141",,"80955","1953596",30,"N","5017414022943",1,18.00,,"Y",1.00,7.5000,7.5000,18.00,0.00,18.00,0.00,,,"N","N","N",,"N","N",1,"N",,"0.00","0.00",,,,,"COLOUR","Coral","SIZE ","M",,,,,,,,,,,,
1000830012,"1000830012","100083","UNIT","98972 PILLOWSTEP POPCORN BALLET","Beige/L","QUANTITY","98972 BEIGE\L",,"1","4","141",,"80955","1819236",30,"N","5017414113962",1,18.00,,"Y",1.00,7.5000,7.5000,18.00,0.00,18.00,0.00,,,"N","N","N",,"N","N",1,"N",,"0.00","0.00",,,,,"COLOUR","Beige","SIZE ","L",,,,,,,,,,,,
1000830013,"1000830013","100083","UNIT","98972 PILLOWSTEP POPCORN BALLET","Grey/L","QUANTITY","98972 GREY\L",,"1","4","141",,"80955","1563535",30,"N","5017414105059",1,18.00,,"Y",1.00,7.5000,7.5000,18.00,0.00,18.00,0.00,,,"N","N","N",,"N","N",1,"N",,"0.00","0.00",,,,,"COLOUR","Grey","SIZE ","L",,,,,,,,,,,,
1000830014,"1000830014","100083","UNIT","98972 PILLOWSTEP POPCORN BALLET","Pink/L","QUANTITY","98972 PINK\L",,"1","4","141",,"80955","1527452",30,"N","5017414004222",1,18.00,,"Y",1.00,7.5000,7.5000,18.00,0.00,18.00,0.00,,,"N","N","N",,"N","N",1,"N",,"0.00","0.00",,,,,"COLOUR","Pink","SIZE ","L",,,,,,,,,,,,
